date,two_qubit_error,unique_bitstrings,in_onehot_subspace_%,feasible_%
2024-06-17,0.0,64,100.0,56.45
2024-06-17,0.0,94,93.75,53.91
2024-06-17,0.0,164,77.34,42.97
2024-06-17,0.02,312,36.91,19.34
2024-06-19,0.0,64,100.0,56.45
2024-06-19,0.0,94,93.75,53.91
2024-06-19,0.0,164,77.34,42.97
2024-06-19,0.02,312,36.91,19.34
2024-06-21,0.0,64,100.0,56.45
2024-06-21,0.0,94,93.75,53.91
2024-06-21,0.0,164,77.34,42.97
2024-06-21,0.02,312,36.91,19.34
2024-06-23,0.0,64,100.0,56.45
2024-06-23,0.0,94,93.75,53.91
2024-06-23,0.0,164,77.34,42.97
2024-06-23,0.02,312,36.91,19.34
2024-06-25,0.0,56,100.0,70.9
2024-06-25,0.0,87,94.34,65.43
2024-06-25,0.0,157,77.34,54.3
2024-06-25,0.02,295,38.09,25.59
