date,order,optimum,QAOA,MILP,Baseline 2,all_agree
2024-06-17,881894,5641,5641,5641,5641,True
2024-06-17,889814,5420,5420,5420,5420,True
2024-06-17,884906,5420,5420,5420,5420,True
2024-06-17,495964,5490,5490,5490,5490,True
2024-06-17,597603,5490,5490,UNASSIGNED,UNASSIGNED,False
2024-06-19,881894,5641,5641,5641,5641,True
2024-06-19,889814,5420,5420,5420,5420,True
2024-06-19,884906,5420,5420,5420,5420,True
2024-06-19,495964,5490,5490,5490,5490,True
2024-06-19,597603,5490,5490,UNASSIGNED,UNASSIGNED,False
2024-06-21,881894,5641,5641,5641,5641,True
2024-06-21,889814,5420,5420,5420,5420,True
2024-06-21,884906,5420,5420,5420,5420,True
2024-06-21,495964,5490,5490,5490,5490,True
2024-06-21,597603,5490,5490,UNASSIGNED,UNASSIGNED,False
2024-06-23,881894,5641,5641,5641,5641,True
2024-06-23,889814,5420,5420,5420,5420,True
2024-06-23,884906,5420,5420,5420,5420,True
2024-06-23,495964,5490,5490,5490,5490,True
2024-06-23,597603,5490,5490,UNASSIGNED,UNASSIGNED,False
2024-06-25,509013,5420,5420,5620,5620,False
2024-06-25,428284,5385,5385,5490,5490,False
2024-06-25,496674,5490,5490,5420,5420,False
2024-06-25,613909,5420,5420,5420,5420,True
2024-06-25,478971,5420,5420,5490,5420,False
