date,orders,columns_per_order,qubits_unbalanced_penalty,qubits_with_slack,classical_search_space,statevector_GiB
2024-06-17,5,4,20,2024,1024,0.015625
2024-06-17,10,4,40,2044,1048576,16384.0
2024-06-17,25,4,100,2104,1125899906842624,inf
2024-06-17,82,4,328,2332,23384026197294446691258957323460528314494920687616,inf
2024-06-17,426,4,1704,3708,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,inf
2024-06-19,5,4,20,2024,1024,0.015625
2024-06-19,10,4,40,2044,1048576,16384.0
2024-06-19,25,4,100,2104,1125899906842624,inf
2024-06-19,82,4,328,2332,23384026197294446691258957323460528314494920687616,inf
2024-06-19,426,4,1704,3708,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,inf
2024-06-21,5,4,20,2024,1024,0.015625
2024-06-21,10,4,40,2044,1048576,16384.0
2024-06-21,25,4,100,2104,1125899906842624,inf
2024-06-21,82,4,328,2332,23384026197294446691258957323460528314494920687616,inf
2024-06-21,426,4,1704,3708,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,inf
2024-06-23,5,4,20,2024,1024,0.015625
2024-06-23,10,4,40,2044,1048576,16384.0
2024-06-23,25,4,100,2104,1125899906842624,inf
2024-06-23,82,4,328,2332,23384026197294446691258957323460528314494920687616,inf
2024-06-23,426,4,1704,3708,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,inf
2024-06-25,5,4,20,1268,1024,0.015625
2024-06-25,10,4,40,1288,1048576,16384.0
2024-06-25,25,4,100,1348,1125899906842624,inf
2024-06-25,82,4,328,1576,23384026197294446691258957323460528314494920687616,inf
2024-06-25,426,4,1704,2952,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,inf
