date,solver,obj_mean,obj_std,P_mean,P_std,R_mean,R_std,F1_mean,F1_std
2024-06-17,MILP,980969.858,0.0,1.0,0.0,0.8,0.0,0.889,0.0
2024-06-17,QAOA,982776.519,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2024-06-19,MILP,981093.361,0.0,1.0,0.0,0.8,0.0,0.889,0.0
2024-06-19,QAOA,982537.502,807.299,1.0,0.0,0.96,0.089,0.978,0.05
2024-06-21,MILP,981207.214,0.0,1.0,0.0,0.8,0.0,0.889,0.0
2024-06-21,QAOA,982650.261,806.687,1.0,0.0,0.96,0.089,0.978,0.05
2024-06-23,MILP,981148.886,0.0,1.0,0.0,0.8,0.0,0.889,0.0
2024-06-23,QAOA,982953.395,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2024-06-25,MILP,549146.556,0.0,0.2,0.0,0.2,0.0,0.2,0.0
2024-06-25,QAOA,573128.529,0.0,1.0,0.0,1.0,0.0,1.0,0.0
